group_by_sex,group_by_1,group_by_label_1,group_by_value_1,group_by_2,variable,prevalence,mean,median,sd,percentile_025,percentile_750
NA,Bin,bin 11,11,NA,A2_cat5_0,51.1,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,A2_cat5_1,16.1,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,A2_cat5_2,12.1,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,A2_cat5_3,16.6,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,A2_cat5_4,4.1,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,ADL_cat7_0,17.2,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,ADL_cat7_1,8.3,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,ADL_cat7_2,19.9,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,ADL_cat7_3,11.9,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,ADL_cat7_4,19.1,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,ADL_cat7_5,17.1,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,ADL_cat7_6,6.5,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,B2B_cat2_0,62,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,B2B_cat2_1,38,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,BB6_cat5_0,21.5,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,BB6_cat5_1,11.5,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,BB6_cat5_2,4.6,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,BB6_cat5_3,10.5,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,BB6_cat5_4,51.8,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,Cancer_cat6_0,55.7,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,Cancer_cat6_1,0,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,Cancer_cat6_2,0.1,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,Cancer_cat6_3,39.7,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,Cancer_cat6_4,0.2,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,Cancer_cat6_5,4.3,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,H3_cat2_0,10.5,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,H3_cat2_1,89.5,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,IADL_cat7_0,0.2,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,IADL_cat7_1,0.4,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,IADL_cat7_2,2.4,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,IADL_cat7_3,0.3,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,IADL_cat7_4,6.5,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,IADL_cat7_5,50.3,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,IADL_cat7_6,39.9,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,J1A_cat2_0,80.9,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,J1A_cat2_1,19.1,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,J1B_cat2_0,69.2,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,J1B_cat2_1,30.8,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,J1C_cat2_0,64.9,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,J1C_cat2_1,35.1,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,J1DE_cat2_0,75.7,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,J1DE_cat2_1,24.3,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,J1D_cat2_0,43.2,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,J1D_cat2_1,56.8,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,J1K_cat2_0,99.9,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,J1K_cat2_1,0.1,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,J1L_cat2_0,96.9,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,J1L_cat2_1,3.1,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,K2E_cat2_0,95.2,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,K2E_cat2_1,4.8,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,K3D_cat2_0,63.9,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,K3D_cat2_1,36.1,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,K3E_cat2_0,50.8,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,K3E_cat2_1,49.2,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,K8E_cat2_0,95.8,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,K8E_cat2_1,4.2,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,L1A_cat2_0,69.5,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,L1A_cat2_1,30.5,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,L2B_cat2_0,84.9,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,L2B_cat2_1,15.1,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,L2C_cat2_0,93.7,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,L2C_cat2_1,6.3,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,Oxygen_cat6_0,59.3,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,Oxygen_cat6_1,0.1,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,Oxygen_cat6_2,11.5,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,Oxygen_cat6_3,12.4,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,Oxygen_cat6_4,0,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,Oxygen_cat6_5,16.6,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,P4A_cat4_0,31.4,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,P4A_cat4_1,50.4,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,P4A_cat4_2,13.5,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,P4A_cat4_3,4.7,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,P4B_cat4_0,68.5,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,P4B_cat4_1,20.7,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,P4B_cat4_2,7,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,P4B_cat4_3,3.8,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,Renal_cat4_0,82,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,Renal_cat4_1,14.6,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,Renal_cat4_2,0,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,Renal_cat4_3,3.4,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,Sex_cat2_0,43.3,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,Sex_cat2_1,56.7,NA,NA,NA,NA,NA
NA,Bin,bin 11,11,NA,Age_cont,NA,82.38,84,10.1,77,90
NA,Bin,bin 12,12,NA,A1_cat7_0,11.8,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,A1_cat7_1,11.8,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,A1_cat7_2,11.9,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,A1_cat7_3,14.5,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,A1_cat7_4,15.4,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,A1_cat7_5,16.8,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,A1_cat7_6,17.8,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,A2_cat5_0,50.9,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,A2_cat5_1,16.3,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,A2_cat5_2,13.2,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,A2_cat5_3,15.4,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,A2_cat5_4,4.2,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,ADL_cat7_0,19.3,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,ADL_cat7_1,8.3,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,ADL_cat7_2,20.2,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,ADL_cat7_3,12.2,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,ADL_cat7_4,17.9,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,ADL_cat7_5,15.8,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,ADL_cat7_6,6.2,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,B2B_cat2_0,63.5,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,B2B_cat2_1,36.5,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,BB6_cat5_0,22.5,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,BB6_cat5_1,11.8,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,BB6_cat5_2,5.2,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,BB6_cat5_3,11,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,BB6_cat5_4,49.5,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,Cancer_cat6_0,58.3,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,Cancer_cat6_1,0,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,Cancer_cat6_2,0.1,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,Cancer_cat6_3,37.4,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,Cancer_cat6_4,0.1,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,Cancer_cat6_5,4.1,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,H3_cat2_0,12.2,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,H3_cat2_1,87.8,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,IADL_cat7_0,0.3,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,IADL_cat7_1,0.4,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,IADL_cat7_2,2.6,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,IADL_cat7_3,0.3,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,IADL_cat7_4,6.9,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,IADL_cat7_5,50.8,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,IADL_cat7_6,38.7,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,J1A_cat2_0,80.1,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,J1A_cat2_1,19.9,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,J1B_cat2_0,69.9,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,J1B_cat2_1,30.1,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,J1C_cat2_0,64.5,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,J1C_cat2_1,35.5,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,J1DE_cat2_0,74.7,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,J1DE_cat2_1,25.3,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,J1D_cat2_0,42.4,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,J1D_cat2_1,57.6,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,J1K_cat2_0,99.9,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,J1K_cat2_1,0.1,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,J1L_cat2_0,96.6,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,J1L_cat2_1,3.4,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,K2E_cat2_0,95.8,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,K2E_cat2_1,4.2,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,K3D_cat2_0,64.8,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,K3D_cat2_1,35.2,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,K3E_cat2_0,52,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,K3E_cat2_1,48,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,K8E_cat2_0,97,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,K8E_cat2_1,3,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,L1A_cat2_0,71.6,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,L1A_cat2_1,28.4,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,L2B_cat2_0,87.3,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,L2B_cat2_1,12.7,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,L2C_cat2_0,94.7,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,L2C_cat2_1,5.3,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,Oxygen_cat6_0,60.8,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,Oxygen_cat6_1,0.1,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,Oxygen_cat6_2,10.1,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,Oxygen_cat6_3,12.8,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,Oxygen_cat6_4,0.1,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,Oxygen_cat6_5,16.1,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,P4A_cat4_0,33.7,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,P4A_cat4_1,49.7,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,P4A_cat4_2,12.3,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,P4A_cat4_3,4.2,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,P4B_cat4_0,69.6,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,P4B_cat4_1,20.7,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,P4B_cat4_2,6.1,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,P4B_cat4_3,3.6,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,Renal_cat4_0,82.4,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,Renal_cat4_1,14.4,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,Renal_cat4_2,0,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,Renal_cat4_3,3.2,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,Sex_cat2_0,43.3,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,Sex_cat2_1,56.7,NA,NA,NA,NA,NA
NA,Bin,bin 12,12,NA,Age_cont,NA,82.35,84,10.06,77,90
NA,Bin,bin 13,13,NA,A1_cat7_0,11.9,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,A1_cat7_1,12.1,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,A1_cat7_2,11.9,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,A1_cat7_3,14.2,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,A1_cat7_4,15.4,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,A1_cat7_5,16.6,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,A1_cat7_6,18,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,A2_cat5_0,50.8,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,A2_cat5_1,16.3,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,A2_cat5_2,13.6,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,A2_cat5_3,15.5,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,A2_cat5_4,3.8,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,ADL_cat7_0,20.9,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,ADL_cat7_1,9,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,ADL_cat7_2,20,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,ADL_cat7_3,12.2,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,ADL_cat7_4,17.3,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,ADL_cat7_5,15,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,ADL_cat7_6,5.4,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,B2B_cat2_0,63.7,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,B2B_cat2_1,36.3,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,BB6_cat5_0,23.4,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,BB6_cat5_1,11.9,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,BB6_cat5_2,5.1,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,BB6_cat5_3,11.1,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,BB6_cat5_4,48.6,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,Cancer_cat6_0,60.7,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,Cancer_cat6_1,0,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,Cancer_cat6_2,0.1,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,Cancer_cat6_3,35.2,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,Cancer_cat6_4,0.1,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,Cancer_cat6_5,3.8,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,H3_cat2_0,13.2,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,H3_cat2_1,86.8,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,IADL_cat7_0,0.3,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,IADL_cat7_1,0.6,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,IADL_cat7_2,2.8,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,IADL_cat7_3,0.3,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,IADL_cat7_4,7.6,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,IADL_cat7_5,50.2,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,IADL_cat7_6,38.3,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,J1A_cat2_0,80.7,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,J1A_cat2_1,19.3,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,J1B_cat2_0,71.3,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,J1B_cat2_1,28.7,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,J1C_cat2_0,65.8,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,J1C_cat2_1,34.2,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,J1DE_cat2_0,74.2,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,J1DE_cat2_1,25.8,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,J1D_cat2_0,42.4,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,J1D_cat2_1,57.6,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,J1K_cat2_0,99.9,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,J1K_cat2_1,0.1,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,J1L_cat2_0,96.5,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,J1L_cat2_1,3.5,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,K2E_cat2_0,96.1,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,K2E_cat2_1,3.9,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,K3D_cat2_0,64.3,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,K3D_cat2_1,35.7,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,K3E_cat2_0,54,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,K3E_cat2_1,46,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,K8E_cat2_0,97.8,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,K8E_cat2_1,2.2,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,L1A_cat2_0,74,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,L1A_cat2_1,26,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,L2B_cat2_0,88.1,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,L2B_cat2_1,11.9,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,L2C_cat2_0,95,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,L2C_cat2_1,5,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,Oxygen_cat6_0,62.3,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,Oxygen_cat6_1,0.1,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,Oxygen_cat6_2,9.3,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,Oxygen_cat6_3,13.1,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,Oxygen_cat6_4,0.1,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,Oxygen_cat6_5,15.1,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,P4A_cat4_0,34.6,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,P4A_cat4_1,50,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,P4A_cat4_2,11.3,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,P4A_cat4_3,4.1,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,P4B_cat4_0,69.4,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,P4B_cat4_1,21.1,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,P4B_cat4_2,6,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,P4B_cat4_3,3.5,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,Renal_cat4_0,83.4,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,Renal_cat4_1,13.4,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,Renal_cat4_2,0,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,Renal_cat4_3,3.3,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,Sex_cat2_0,45.6,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,Sex_cat2_1,54.4,NA,NA,NA,NA,NA
NA,Bin,bin 13,13,NA,Age_cont,NA,82.3,84,10.07,77,90
NA,Bin,bin 14,14,NA,A1_cat7_0,11.7,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,A1_cat7_1,12.4,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,A1_cat7_2,12.4,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,A1_cat7_3,14,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,A1_cat7_4,15,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,A1_cat7_5,16.8,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,A1_cat7_6,17.7,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,A2_cat5_0,50.2,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,A2_cat5_1,16.5,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,A2_cat5_2,15.2,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,A2_cat5_3,14.3,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,A2_cat5_4,3.7,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,ADL_cat7_0,21.4,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,ADL_cat7_1,9.3,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,ADL_cat7_2,20.9,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,ADL_cat7_3,12.3,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,ADL_cat7_4,17,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,ADL_cat7_5,14.1,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,ADL_cat7_6,5,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,B2B_cat2_0,65.8,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,B2B_cat2_1,34.2,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,BB6_cat5_0,24.8,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,BB6_cat5_1,12,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,BB6_cat5_2,5.2,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,BB6_cat5_3,10.6,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,BB6_cat5_4,47.3,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,Cancer_cat6_0,63.2,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,Cancer_cat6_1,0,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,Cancer_cat6_2,0.1,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,Cancer_cat6_3,33.1,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,Cancer_cat6_4,0.1,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,Cancer_cat6_5,3.6,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,H3_cat2_0,13.7,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,H3_cat2_1,86.3,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,IADL_cat7_0,0.4,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,IADL_cat7_1,0.6,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,IADL_cat7_2,3,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,IADL_cat7_3,0.4,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,IADL_cat7_4,7.8,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,IADL_cat7_5,50.4,NA,NA,NA,NA,NA
NA,Bin,bin 14,14,NA,IADL_cat7_6,37.4,NA,NA,NA,NA,NA
